Semester,Industror,Course,Section,Title,Course Count,Course Mean,Instr Count,Instr Mean,Response Percentage,Year
Spring,"Rayel, Victoria",ES310,C1,Implement Your Career Plan,30,3.8,30,4.6,86%,2018
Fall,"Chung, Yoo Jin",ES310,C2,Implement Your Career Plan,38,4.05,38,4.74,97%,2018
Spring,"Rayel, Victoria",ES310,C2,Implement Your Career Plan,17,4.41,17,4.94,74%,2018
Fall,"Anastasi, Tom",ES310,D1,Implement Your Career Plan,33,3.97,33,4.79,79%,2018
Spring,"Anastasi, Tom",ES310,D1,Implement Your Career Plan,33,4.21,33,4.82,94%,2018
Fall,"Anastasi, Tom",ES310,D2,Implement Your Career Plan,28,3.64,27,4.52,85%,2018
Spring,"Anastasi, Tom",ES310,D2,Implement Your Career Plan,8,3.38,8,4,80%,2018
Fall,"Nichols, Rebecca",ES310,E1,Implement Your Career Plan,30,3.87,29,4.41,86%,2018
Fall,"Nichols, Rebecca",ES310,E2,Implement Your Career Plan,36,3.75,36,4.61,95%,2018
Fall,"Anastasi, Tom",ES310,F1,Implement Your Career Plan,30,3.87,30,4.37,77%,2018
Fall,"Anastasi, Tom",ES310,F2,Implement Your Career Plan,20,3.9,21,4.67,87%,2018
Summer,"Newell, Cornelia",FE101,A1,Introduction to Finance,25,4.36,25,4.48,66%,2018
Summer,"Newell, Cornelia",FE101,A2,Introduction to Finance,28,4.46,29,4.86,74%,2018
Summer,"Newell, Cornelia",FE101,A3,Introduction to Finance,18,4.22,18,4.67,50%,2018
Fall,"Chadwick, Theodore",FE101,B2,Introduction to Finance,26,4.38,26,4.42,65%,2018
Spring,"Fox, John F.",FE101,B2,Introduction to Finance,35,4.37,36,4.42,83%,2018
Fall,"Fox, John F.",FE101,B3,Introduction to Finance,29,4.48,29,4.59,73%,2018
Spring,"Fox, John F.",FE101,B3,Introduction to Finance,34,4.41,34,4.29,79%,2018
Spring,"Osher, Keith",FE101,B4,Introduction to Finance,30,4.17,30,4.2,86%,2018
Spring,"Osher, Keith",FE101,B5,Introduction to Finance,22,4.14,22,4.14,61%,2018
Spring,"Chadwick, Theodore",FE101,B6,Introduction to Finance,23,4.35,23,4.35,59%,2018
Spring,"Bedard, David",FE101,B7,Introduction to Finance,31,4.74,32,4.88,74%,2018
Fall,"Chadwick, Theodore",FE101,C2,Introduction to Finance,33,4.03,33,4.45,75%,2018
Spring,"Newell, Cornelia",FE101,C2,Introduction to Finance,34,4.65,34,4.85,79%,2018
Fall,"Bedard, David",FE101,C3,Introduction to Finance,34,4.35,33,4.85,76%,2018
Spring,"Fox, John F.",FE101,C3,Introduction to Finance,31,4.42,31,4.68,82%,2018
Spring,"Osher, Keith",FE101,C4,Introduction to Finance,29,4.38,29,4.48,78%,2018
Spring,"Osher, Keith",FE101,C5,Introduction to Finance,22,4.27,22,4.36,61%,2018
Spring,"Chadwick, Theodore",FE101,C6,Introduction to Finance,19,4.58,19,4.47,51%,2018
Spring,"Bedard, David",FE101,C7,Introduction to Finance,28,5,28,4.96,74%,2018
Fall,"Newell, Cornelia",FE101,D2,Introduction to Finance,33,4.27,32,4.75,77%,2018
Spring,"Newell, Cornelia",FE101,D2,Introduction to Finance,37,4.62,38,4.76,84%,2018
Fall,"Bedard, David",FE101,D3,Introduction to Finance,30,4.53,30,4.9,70%,2018
Spring,"Newell, Cornelia",FE101,D3,Introduction to Finance,32,4.59,31,4.97,73%,2018
Fall,"Fox, John F.",FE101,D4,Introduction to Finance,34,4.21,34,4.35,79%,2018
Spring,"Chadwick, Theodore",FE101,D4,Introduction to Finance,31,4.65,32,4.38,82%,2018
Fall,"Newell, Cornelia",FE101,D5,Introduction to Finance,29,4.28,29,4.79,67%,2018
Spring,"Nichols, Rebecca",FE101,D5,Introduction to Finance,31,4.45,32,4.56,78%,2018
Spring,"Russell, Alan",FE101,D6,Introduction to Finance,20,4,20,3.95,77%,2018
Spring,"Bedard, David",FE101,D7,Introduction to Finance,36,4.78,36,4.94,92%,2018
Fall,"Newell, Cornelia",FE101,E2,Introduction to Finance,31,4.32,31,4.68,78%,2018
Spring,"d'Almeida, Jaime",FE101,E2,Introduction to Finance,32,4.5,32,4.66,74%,2018
Fall,"Horsfall, David",FE101,E3,Introduction to Finance,26,3.88,27,4.04,68%,2018
Spring,"Newell, Cornelia",FE101,E3,Introduction to Finance,29,4.34,29,4.69,64%,2018
Spring,"Russell, Alan",FE101,E5,Introduction to Finance,19,4.42,19,4.16,83%,2018
Fall,"Chadwick, Theodore",FE323,A1,Financial Management,38,4.55,38,4.53,97%,2018
Spring,"Chadwick, Theodore",FE323,A1,Financial Management,32,4.25,32,4,86%,2018
Fall,"Fox, John F.",FE323,A2,Financial Management,40,4.35,40,4.2,100%,2018
Spring,"Fox, John F.",FE323,A2,Financial Management,37,4.7,37,4.7,100%,2018
Fall,"Griner, Kathryn",FE323,A3,Financial Management,37,4.59,36,4.61,95%,2018
Spring,"Griner, Kathryn",FE323,A3,Financial Management,35,4.66,36,4.53,95%,2018
Fall,"Wilson, Raymond",FE323,A4,Financial Management,39,4.62,40,4.5,98%,2018
Spring,"Bedard, David",FE323,A4,Financial Management,33,4.82,34,4.94,89%,2018
Fall,"Bedard, David",FE323,A5,Financial Management,35,4.63,35,4.86,88%,2018
Fall,"Chadwick, Theodore",FE323,B1,Financial Management,38,4.61,38,4.58,100%,2018
Spring,"Chadwick, Theodore",FE323,B1,Financial Management,34,4.21,34,4.35,97%,2018
Fall,"Fox, John F.",FE323,B2,Financial Management,37,4.68,37,4.54,97%,2018
Spring,"Fox, John F.",FE323,B2,Financial Management,35,4.63,35,4.66,100%,2018
Fall,"Griner, Kathryn",FE323,B3,Financial Management,38,4.89,38,4.87,100%,2018
Spring,"Griner, Kathryn",FE323,B3,Financial Management,35,4.71,35,4.6,97%,2018
Fall,"Newell, Cornelia",FE323,B4,Financial Management,37,4.7,37,4.89,100%,2018
Spring,"Newell, Cornelia",FE323,B4,Financial Management,28,4.61,28,4.79,80%,2018
Fall,"Bedard, David",FE323,B5,Financial Management,35,4.69,35,4.69,90%,2018
Fall,"Welch, James",FE427,A1,International Financial Management,16,3.69,16,4,73%,2018
Spring,"Welch, James",FE427,A1,International Financial Management,20,3.95,20,4.1,87%,2018
Spring,"Welch, James",FE427,B1,International Financial Management,18,4.17,18,4.33,75%,2018
Fall,"Smith, Donald",FE429,A1,"Futures, Options & Financial Risk Management",18,4.39,18,4.89,100%,2018
Spring,"Stevens, Aaron",FE429,A1,"Futures, Options & Financial Risk Management",19,3.89,19,3.63,79%,2018
Fall,"d'Almeida, Jaime",FE442,A1,"Money, Financial Markets & Economic Activity",13,4.54,13,4.92,72%,2018
Spring,"Buff, Gayle",FE442,A1,"Money, Financial Markets & Economic Activity",14,4.43,14,4.43,93%,2018
Summer,"James, Robert",FE442,A1,"Money, Financial Markets & Economic Activity",8,5,9,4.89,80%,2018
Fall,"Williams, Mark",FE442,B1,"Money, Financial Markets & Economic Activity",40,4.88,40,4.85,89%,2018
Spring,"Williams, Mark",FE442,B1,"Money, Financial Markets & Economic Activity",43,4.63,43,4.65,90%,2018
Fall,"Spieler, David",FE442,C1,"Money, Financial Markets & Economic Activity",36,4.67,35,4.91,68%,2018
Spring,"Williams, Mark",FE442,C1,"Money, Financial Markets & Economic Activity",46,4.5,46,4.83,81%,2018
Fall,"Williams, Mark",FE442,D1,"Money, Financial Markets & Economic Activity",26,4.54,26,4.73,90%,2018
Spring,"Newell, Cornelia",FE442,D1,"Money, Financial Markets & Economic Activity",42,4.38,43,4.77,84%,2018
Fall,"Spieler, David",FE442,E1,"Money, Financial Markets & Economic Activity",38,4.87,37,4.92,81%,2018
Spring,"Spieler, David",FE442,E1,"Money, Financial Markets & Economic Activity",42,4.67,42,4.88,79%,2018
Spring,"Shipman, Todd",FE442,F1,"Money, Financial Markets & Economic Activity",12,3.92,12,4.33,80%,2018
Fall,"Zhang, Tony",FE445,A1,Investment Analysis and Portfolio Management,38,4.58,38,4.53,68%,2018
Spring,"Griswold, David",FE445,A1,Investment Analysis and Portfolio Management,53,4.85,53,4.94,84%,2018
Summer,"Liu, Qing",FE445,A1,Investment Analysis and Portfolio Management,11,4.36,11,4.27,92%,2018
Fall,"Zhang, Tony",FE445,B1,Investment Analysis and Portfolio Management,28,4.64,28,4.75,52%,2018
Spring,"Griswold, David",FE445,B1,Investment Analysis and Portfolio Management,36,4.97,35,5,88%,2018
Fall,"Welch, James",FE445,C1,Investment Analysis and Portfolio Management,18,4,18,4.17,60%,2018
Spring,"Vedolin, Andrea",FE445,C1,Investment Analysis and Portfolio Management,14,4.71,14,4.93,93%,2018
Fall,"Welch, James",FE445,D1,Investment Analysis and Portfolio Management,24,3.92,24,3.88,69%,2018
Spring,"Vedolin, Andrea",FE445,D1,Investment Analysis and Portfolio Management,38,4.63,38,4.68,69%,2018
Fall,"Buff, Gayle",FE445,E1,Investment Analysis and Portfolio Management,15,4,15,3.87,100%,2018
Spring,"Welch, James",FE445,E1,Investment Analysis and Portfolio Management,25,4.16,25,4.2,56%,2018
Spring,"Alt, Christopher",FE445,F1,Investment Analysis and Portfolio Management,33,4.27,33,4.03,87%,2018
Fall,"Shaked, Israel",FE449,A1,Corporate Financial Management,28,4.54,28,4.54,93%,2018
Spring,"Hamid, Shaikh",FE449,A1,Corporate Financial Management,35,3.71,36,3.61,88%,2018
Summer,"Hamid, Shaikh",FE449,A1,Corporate Financial Management,40,3.43,40,3.15,95%,2018
Fall,"Michel, Allen",FE449,B1,Corporate Financial Management,25,4.64,25,4.72,74%,2018
Spring,"Shaked, Israel",FE449,B1,Corporate Financial Management,20,4.9,20,4.7,87%,2018
Fall,"Shaked, Israel",FE449,C1,Corporate Financial Management,13,4.62,13,4.69,100%,2018
Spring,"Shaked, Israel",FE449,C1,Corporate Financial Management,9,4.89,9,5,90%,2018
Fall,"Michel, Allen",FE449,D1,Corporate Financial Management,22,4.23,22,4.27,88%,2018
Spring,"Hackbarth, Dirk",FE449,D1,Corporate Financial Management,37,3.86,37,3.78,64%,2018
Fall,"Shipman, Todd",FE449,E1,Corporate Financial Management,16,3.69,16,3.38,89%,2018
Spring,"Hackbarth, Dirk",FE449,E1,Corporate Financial Management,27,4.11,27,4.33,66%,2018
Spring,"Hamid, Shaikh",FE449,F1,Corporate Financial Management,17,3.65,17,3.41,89%,2018
Fall,"Segal, Steven",FE450,A1,Private Equity: Leveraged Buyouts,23,4.78,23,4.83,85%,2018
Spring,"Segal, Steven",FE450,A1,Private Equity: Leveraged Buyouts,29,4.97,28,4.79,100%,2018
Fall,"Griner, Kathryn",FE454,A1,Investment Banking,33,4.58,34,4.79,83%,2018
Spring,"Griner, Kathryn",FE454,A1,Investment Banking,30,4.7,30,4.7,91%,2018
Summer,"Griner, Kathryn",FE454,B1,Investment Banking,13,4.85,13,4.92,100%,2018
Fall,"Spieler, David",FE455,A1,Financing New Ventures,31,4.74,31,4.87,86%,2018
Spring,"Spieler, David",FE455,A1,Financing New Ventures,43,4.58,43,4.79,84%,2018
Spring,"Smith, Donald",FE456,A1,Fixed Income Analysis,20,4.65,20,4.8,91%,2018
Fall,"Salemy, Louis",FE458,A1,Equities and Securities Analysis,37,4.76,38,4.89,90%,2018
Spring,"Salemy, Louis",FE458,A1,Equities and Securities Analysis,33,4.91,33,4.91,94%,2018
Summer,"Stevens, Aaron",FE459,A1,Computational Techniques for Finance,12,4.25,13,4.15,86%,2018
Fall,"Munsell, Keith",FE469,A1,Real Estate Finance,30,4.77,31,4.94,88%,2018
Spring,"Munsell, Keith",FE469,A1,Real Estate Finance,29,4.66,29,4.76,81%,2018
Summer,"Munsell, Keith",FE469,A1,Real Estate Finance,12,4.92,12,4.83,92%,2018
Fall,"Munsell, Keith",FE469,B1,Real Estate Finance,10,4.9,10,4.9,50%,2018
Spring,"Munsell, Keith",FE469,B1,Real Estate Finance,35,4.74,34,4.85,95%,2018
Fall,"Rideout, Earl",IM345,A1,Global Business Environment,37,3.97,38,4.03,76%,2018
Spring,"Rideout, Earl",IM345,A1,International Business Environment,36,4.06,36,4.11,84%,2018
Summer,"Rideout, Earl",IM345,B1,Global Business Environment,15,4.4,15,4.33,83%,2018
Spring,"Rideout, Earl",IM445,A1,Multinational Management,17,4.29,17,4.47,89%,2018
Spring,"Allen, Jeffrey",IS223,A1,Introduction to Information Systems,25,4.6,25,4.72,96%,2018
Summer,"Allen, Jeffrey",IS223,A1,Introduction to Information Systems,19,4.79,19,4.89,100%,2018
Summer,"Defronzo, Gregory",IS223,A2,Introduction to Information Systems,38,4.55,38,4.87,88%,2018
Fall,"Watts, Stephanie",IS223,B1,Introduction to Information Systems,38,4.24,38,4.45,97%,2018
Fall,"Shore, Jesse",IS223,C1,Introduction to Information Systems,11,4.55,11,4.55,85%,2018
Spring,"Allen, Jeffrey",IS223,C1,Introduction to Information Systems,32,4.59,32,4.78,86%,2018
Fall,"Shore, Jesse",IS223,D1,Introduction to Information Systems,13,4.92,13,4.92,81%,2018
Spring,"Defronzo, Gregory",IS223,D1,Introduction to Information Systems,50,4.68,51,4.84,83%,2018
Fall,"Shore, Jesse",IS223,E1,Introduction to Information Systems,18,4.56,18,4.94,78%,2018
Spring,"Seaholm, Eric",IS223,E1,Introduction to Information Systems,30,4.07,30,4.2,79%,2018
Spring,"Watts, Stephanie",IS223,F1,Introduction to Information Systems,33,4.18,34,4.59,89%,2018
Fall,"Allen, Jeffrey",IS223,G1,Introduction to Information Systems,30,4.2,29,4.28,100%,2018
Spring,"Allen, Jeffrey",IS223,G1,Introduction to Information Systems,20,4.65,20,4.85,74%,2018
Fall,"Allen, Jeffrey",IS223,H1,Introduction to Information Systems,42,4.64,42,4.71,89%,2018
Spring,"Defronzo, Gregory",IS223,H1,Introduction to Information Systems,37,4.76,37,4.97,82%,2018
Fall,"Defronzo, Gregory",IS223,I1,Introduction to Information Systems,52,4.63,53,4.89,93%,2018
Fall,"Allen, Jeffrey",IS223,J1,Introduction to Information Systems,43,4.58,43,4.77,96%,2018
Fall,"Seaholm, Eric",IS223,K1,Introduction to Information Systems,38,4.03,38,4.39,83%,2018
Fall,"Defronzo, Gregory",IS223,L1,Introduction to Information Systems,47,4.51,45,4.93,90%,2018
Spring,"Koulopoulos, Thomas",IS428,A1,Managing Information Security,13,5,13,5,100%,2018
Fall,"Chen, Steve",IS454,A1,Building Web Applications for Business,12,4.42,12,4.42,71%,2018
Spring,"Chen, Steve",IS454,A1,Building Web Applications for Business,13,4.85,13,4.85,43%,2018
Fall,"Sahoo, Nachiketa",IS465,A1,Managing Data Resources,23,4.65,23,4.39,82%,2018
Spring,"Chen, Steve",IS465,A1,Managing Data Resources,39,4.74,40,4.65,87%,2018
Fall,"Sahoo, Nachiketa",IS465,B1,Managing Data Resources,28,4.21,27,4.33,80%,2018
Spring,"Conroy, Kyle",IS465,B1,Managing Data Resources,49,4.49,49,4.31,92%,2018
Fall,"Sahoo, Nachiketa",IS465,C1,Managing Data Resources,23,4.48,22,4.55,82%,2018
Fall,"Covino, Ralph",IS467,A1,Agile Development Methodologies,23,4.48,23,4.65,74%,2018
Spring,"Covino, Ralph",IS467,A1,Agile Development Methodologies,31,4.45,31,4.52,86%,2018
Summer,"Covino, Ralph",IS467,A1,Agile Development Methodologies,16,4.88,16,4.94,94%,2018
Fall,"Covino, Ralph",IS467,B1,Agile Development Methodologies,25,4.56,25,4.56,86%,2018
Spring,"Covino, Ralph",IS467,B1,Agile Development Methodologies,33,4.27,33,4.48,100%,2018
Fall,"Covino, Ralph",IS467,C1,Agile Development Methodologies,22,4.64,22,4.68,76%,2018
Fall,"Covino, Ralph",IS469,A1,Designing Information Systems,27,4.59,27,4.7,87%,2018
Spring,"Watts, Stephanie",IS469,A1,Designing Information Systems,29,4.07,29,4.17,91%,2018
Fall,"Covino, Ralph",IS469,B1,Designing Information Systems,17,4.59,17,4.41,85%,2018
Spring,"Watts, Stephanie",IS469,B1,Designing Information Systems,29,4.31,29,4.48,83%,2018
Spring,"Covino, Ralph",IS469,C1,Designing Information Systems,24,4.38,24,4.5,75%,2018
Fall,"Hagiu, Andrei",IS474,A1,Platform Strategy & Design,11,4.82,11,4.91,85%,2018
Summer,"Allen, Jeffrey",IS479,A1,Innovating with Information Technology,15,4.67,15,4.6,100%,2018
Fall,"Chang, Kabrina",LA245,A1,Introduction to Law,15,4.8,15,4.93,88%,2018
Spring,"Randall, David",LA245,A1,Introduction to Law,30,4.73,31,4.84,86%,2018
Summer,"Howell, Matthew",LA245,A1,Introduction to Law,46,4.76,46,4.87,87%,2018
Summer,"Chang, Kabrina",LA245,A2,Introduction to Law,19,4.79,19,4.89,90%,2018
Fall,"Howell, Matthew",LA245,B1,Introduction to Law,45,4.91,44,4.95,88%,2018
Spring,"Fazendeiro, Fatema",LA245,B1,Introduction to Law,46,4.8,48,4.96,85%,2018
Summer,"Fazendeiro, Fatema",LA245,B1,Introduction to Law,28,4.68,27,4.85,93%,2018
Fall,"Spooner, Rachel",LA245,C1,Introduction to Law,38,4.55,38,4.61,95%,2018
Spring,"Randall, David",LA245,C1,Introduction to Law,34,4.74,35,4.86,92%,2018
Fall,"Randall, David",LA245,D1,Introduction to Law,46,4.5,46,4.52,85%,2018
Spring,"Fazendeiro, Fatema",LA245,D1,Introduction to Law,47,4.77,48,4.92,85%,2018
Fall,"Chang, Kabrina",LA245,E1,Introduction to Law,15,4.93,15,4.93,83%,2018
Spring,"Randall, David",LA245,E1,Introduction to Law,39,4.74,40,4.93,87%,2018
Fall,"Randall, David",LA245,F1,Introduction to Law,38,4.61,38,4.79,97%,2018
Spring,"Fazio, Catherine",LA245,F1,Introduction to Law,35,4.51,35,4.51,88%,2018
Fall,"Powers, Gina",LA245,G1,Introduction to Law,30,4.73,30,4.87,75%,2018
Spring,"Chang, Kabrina",LA245,G1,Introduction to Law,29,4.79,29,4.9,94%,2018
Fall,"Fazendeiro, Fatema",LA245,H1,Introduction to Law,39,4.82,39,4.9,100%,2018
Spring,"Humber, Nadiyah",LA245,H1,Introduction to Law,19,4.53,19,4.63,90%,2018
Fall,"Randall, David",LA245,I1,Introduction to Law,36,4.69,36,4.75,86%,2018
Fall,"Powers, Gina",LA245,J1,Introduction to Law,32,4.81,31,4.97,91%,2018
Fall,"Spooner, Rachel",LA346,A1,Law and Ethics,17,4.65,17,4.94,100%,2018
Spring,"Spooner, Rachel",LA346,A1,Law and Ethics,21,4.71,22,4.82,91%,2018
Spring,"Chang, Kabrina",LA355,A1,Employment Law and Public Policy,18,4.89,18,5,100%,2018
Fall,"Powers, Gina",LA360,A1,Real Estate Law,22,4.95,22,4.95,92%,2018
Spring,"Powers, Gina",LA360,A1,Real Estate Law,25,4.56,26,4.62,81%,2018
Summer,"Powers, Gina",LA360,A1,Real Estate Law,4,5,4,5,80%,2018
Spring,"Powers, Gina",LA360,B1,Real Estate Law,14,4.79,14,4.93,88%,2018
Fall,"Spooner, Rachel",LA365,A1,Securities Regulation,30,4.87,30,4.97,94%,2018
Spring,"Powers, Gina",LA450,A1,Law and Risk Management,40,4.58,39,4.77,91%,2018
Fall,"Hibbard, Jonathan",MK323,A1,Marketing Management,37,4.51,37,4.7,95%,2018
Spring,"Hibbard, Jonathan",MK323,A1,Marketing Management,35,4.57,35,4.57,95%,2018
Fall,"Grant, Susan Jung",MK323,A2,Marketing Management,37,4.38,38,4.34,93%,2018
Spring,"Veidenheimer, Lorri",MK323,A2,Marketing Management,36,4.42,36,4.33,97%,2018
Fall,"Veidenheimer, Lorri",MK323,A3,Marketing Management,36,4.17,36,4.06,92%,2018
Spring,"McGinnis, Phyllis",MK323,A3,Marketing Management,36,4.47,36,4.53,97%,2018
Fall,"McGinnis, Phyllis",MK323,A4,Marketing Management,38,4.45,38,4.5,95%,2018
Spring,"McGinnis, John",MK323,A4,Marketing Management,32,3.81,32,4.03,86%,2018
Fall,"Meier, Carol",MK323,A5,Marketing Management,37,4.62,37,4.86,93%,2018
Fall,"Hibbard, Jonathan",MK323,B1,Marketing Management,37,4.68,37,4.62,97%,2018
Spring,"Hibbard, Jonathan",MK323,B1,Marketing Management,34,4.62,34,4.82,97%,2018
Fall,"Grant, Susan Jung",MK323,B2,Marketing Management,37,4.19,37,4.19,97%,2018
Spring,"Veidenheimer, Lorri",MK323,B2,Marketing Management,33,4.39,34,4.53,94%,2018
Fall,"Utter, Deborah",MK323,B3,Marketing Management,38,4.39,36,4.39,100%,2018
Spring,"McGinnis, Phyllis",MK323,B3,Marketing Management,34,4.24,34,4.53,94%,2018
Fall,"McGinnis, Phyllis",MK323,B4,Marketing Management,33,3.88,34,3.74,89%,2018
Spring,"Utter, Deborah",MK323,B4,Marketing Management,28,4.11,28,4.29,80%,2018
Fall,"Meier, Carol",MK323,B5,Marketing Management,36,4.5,36,4.72,92%,2018
Spring,"Ruxin, Robert",MK444,A1,Business of Sports,19,3.63,19,3.53,90%,2018
Fall,"Ksendzova, Masha",MK445,A1,Consumer Behavior,34,4.24,34,4.56,87%,2018
Spring,"Kurt, Didem",MK445,A1,Consumer Behavior,24,4,23,4.13,77%,2018
Spring,"Kurt, Didem",MK445,B1,Consumer Behavior,22,4.45,22,4.68,92%,2018
Fall,"Banerjee, Shrabastee",MK447,A1,Marketing Research,29,3.34,29,3.62,81%,2018
Spring,"Kupor, Daniella",MK447,A1,Marketing Research,20,4.55,20,4.7,77%,2018
Fall,"Sun, Monic",MK447,B1,Marketing Research,43,3.49,44,3.45,83%,2018
Spring,"Kupor, Daniella",MK447,B1,Marketing Research,28,4,28,4.43,74%,2018
Spring,"Kupor, Daniella",MK447,C1,Marketing Research,13,4.69,13,4.85,93%,2018
Spring,"King, Sandra",MK463,A1,Services Marketing and Management,26,4.35,26,4.58,87%,2018
Fall,"Utter, Deborah",MK465,A1,Retailing Strategy,25,4.72,25,4.84,93%,2018
Spring,"Utter, Deborah",MK465,A1,Retailing Management,35,4.26,35,4.37,95%,2018
Fall,"Rideout, Earl",MK466,A1,Selling and Partnership Development,14,2.86,14,2.71,82%,2018
Fall,"Rideout, Earl",MK467,A1,Global Marketing Management,15,3.87,15,3.6,88%,2018
Spring,"Rideout, Earl",MK467,A1,International Marketing Management,17,3.71,17,4.06,77%,2018
Summer,"Hibbard, Jonathan",MK468,A1,Advanced Marketing Strategy,4,4.5,4,5,100%,2018
Fall,"Utter, Deborah",MK469,A1,Integrated Marketing Communications,40,4.28,40,4.4,80%,2018
Spring,"Utter, Deborah",MK469,A1,Communication and Digital Media Strategies,40,4.38,40,4.48,89%,2018
Summer,"Utter, Deborah",MK469,A1,Communication and Digital Media Strategies,7,4.86,6,5,88%,2018
Spring,"Srinivasan, Shuba",MK470,A1,Pricing Strategy and Tactics,31,4.52,31,4.58,89%,2018
Fall,"Fradkin, Andrey",MK472,A1,Measuring Impact with Causal Methods,21,3.43,21,3.29,88%,2018
Spring,"Crener-Ricard, Sandrine",MK475,A1,Luxury Brands,32,4.56,32,4.72,71%,2018
Fall,"Longoni, Chiara",MK487,A1,Branding,15,4.67,15,4.73,100%,2018
Spring,"Meier, Carol",MK487,A1,Branding,34,4.68,35,4.86,89%,2018
Fall,"Longoni, Chiara",MK487,B1,Branding,36,4.69,35,4.83,80%,2018
Spring,"Meier, Carol",MK487,B1,Branding,32,4.56,32,4.75,82%,2018
Fall,"Hadley, Constance",OB221,B1,The Dynamics of Leading Organizations,31,3.84,31,4.19,97%,2018
Spring,"Deacon Carr, Sandra",OB221,B1,The Dynamics of Leading Organizations,13,4.23,13,4.85,93%,2018
Fall,"Hutchinson, Paul",OB221,B2,The Dynamics of Leading Organizations,20,4.55,20,4.9,74%,2018
Spring,"Mandolese, Jennifer",OB221,B2,The Dynamics of Leading Organizations,12,4.75,12,5,92%,2018
Fall,"Mandolese, Jennifer",OB221,B3,The Dynamics of Leading Organizations,19,4.47,19,5,83%,2018
Spring,"Hadley, Constance",OB221,B3,The Dynamics of Leading Organizations,19,4.53,19,4.89,95%,2018
Fall,"Hutchinson, Paul",OB221,C1,The Dynamics of Leading Organizations,32,4.44,32,4.78,94%,2018
Spring,"French, James",OB221,C1,The Dynamics of Leading Organizations,31,4.42,31,4.87,91%,2018
Summer,"Agan, Chuck",OB221,C1,The Dynamics of Leading Organizations,7,4.43,7,4.71,100%,2018
Fall,"Chung, Yoo Jin",OB221,C2,The Dynamics of Leading Organizations,21,4.48,20,4.9,100%,2018
Spring,"Bachman, William",OB221,C2,The Dynamics of Leading Organizations,36,4.31,36,4.92,100%,2018
Fall,"Agan, Chuck",OB221,C3,The Dynamics of Leading Organizations,23,4.39,23,4.91,88%,2018
Spring,"Agan, Chuck",OB221,C3,The Dynamics of Leading Organizations,25,4.2,25,4.84,96%,2018
Fall,"Jurgens, Michele",OB221,C4,The Dynamics of Leading Organizations,19,3.89,19,4.21,95%,2018
Spring,"Pearse, Perrin",OB221,C4,The Dynamics of Leading Organizations,17,4.18,17,4.71,74%,2018
Fall,"Anastasi, Tom",OB221,C5,The Dynamics of Leading Organizations,14,4.14,14,4.71,78%,2018
Spring,"Hutchinson, Paul",OB221,C5,The Dynamics of Leading Organizations,32,4.09,32,4.81,97%,2018
Fall,"French, James",OB221,D1,The Dynamics of Leading Organizations,31,4.39,32,4.78,86%,2018
Spring,"Wang, Lan",OB221,D1,The Dynamics of Leading Organizations,25,3.84,25,4.24,86%,2018
Fall,"Mandolese, Jennifer",OB221,D2,The Dynamics of Leading Organizations,28,4.18,27,4.63,85%,2018
Spring,"Mandolese, Jennifer",OB221,D2,The Dynamics of Leading Organizations,31,4.45,31,4.97,97%,2018
Fall,"Anderson , Maria",OB221,D3,The Dynamics of Leading Organizations,27,3.85,27,4.63,82%,2018
Spring,"Anastasi, Tom",OB221,D3,The Dynamics of Leading Organizations,21,4.24,21,4.24,95%,2018
Fall,"Jurgens, Michele",OB221,D4,The Dynamics of Leading Organizations,28,3.14,31,3.48,85%,2018
Spring,"Reis, Matthew",OB221,D4,The Dynamics of Leading Organizations,32,3.97,33,4.33,94%,2018
Fall,"Reis, Matthew",OB221,D5,The Dynamics of Leading Organizations,30,3.47,30,3.9,88%,2018
Spring,"Jurgens, Michele",OB221,D5,The Dynamics of Leading Organizations,26,3.81,26,4.23,81%,2018
Fall,"French, James",OB221,E1,The Dynamics of Leading Organizations,26,4.42,25,4.96,76%,2018
Spring,"Reis, Matthew",OB221,E1,The Dynamics of Leading Organizations,15,4.2,15,4.6,94%,2018
Fall,"Anastasi, Tom",OB221,E2,The Dynamics of Leading Organizations,18,3.44,17,3.65,56%,2018
Spring,"Jurgens, Michele",OB221,E2,The Dynamics of Leading Organizations,13,3.85,13,4.15,81%,2018
Spring,"Foulkes, Fred",OB441,A1,Human Resource Management,16,4.25,16,4.19,76%,2018
Spring,"Hutchinson, Paul",OB442,A1,Leading High Performance Teams and Project Groups,11,4.45,11,4.73,85%,2018
Fall,"Cohen, Moshe",OB448,A1,Negotiations,31,4.65,30,4.67,84%,2018
Spring,"Anastasi, Tom",OB448,A1,Negotiations,20,4,20,4.15,77%,2018
Fall,"Stolow, David",OB456,A1,Leadership and Management of Social Enterprises,12,4.75,12,4.75,100%,2018
Fall,"Deacon Carr, Sandra",OB460,A1,The Leadership Challenge,12,4.83,11,4.91,100%,2018
Spring,"Deacon Carr, Sandra",OB460,A1,The Leadership Challenge,14,4.79,14,5,93%,2018
Fall,"Dixon, J. Robb",OM323,A1,Operations and Technology Management,36,3.81,35,4.03,92%,2018
Spring,"Morrison, Paul",OM323,A1,Operations and Technology Management,37,4.38,37,4.7,100%,2018
Fall,"Kadets, Barry",OM323,A2,Operations and Technology Management,38,4.18,38,4.5,95%,2018
Spring,"Kim, Jay",OM323,A2,Operations and Technology Management,34,4.15,34,4.44,92%,2018
